,home_team_api_id,away_team_api_id,home_team_mean_rating,away_team_mean_rating,home_top_players,away_top_players,AVG_bet_H,AVG_bet_A_D,h_5_games_pts,a_5_games_pts,h_only_10_games_pts,a_only_10_games_pts,final_result
0,1773,8635,63.72727272727273,72.77272727272727,0,1,6.083333333333333,1.3391666666666666,0,0,0,0,1
1,9998,9985,63.95454545454545,70.36363636363636,0,0,4.521666666666667,1.2979166666666666,0,0,0,0,0
2,9987,9993,71.31818181818181,66.5909090909091,0,0,1.445,2.6170833333333334,0,0,0,0,1
5,8571,9989,66.5909090909091,66.77272727272727,0,0,1.7633333333333334,2.6470833333333332,0,0,0,0,0
6,8203,9997,67.27272727272727,65.54545454545455,0,0,1.6600000000000001,1.8375000000000001,0,0,0,0,1
7,8342,10001,71.81818181818181,66.27272727272727,0,0,1.4466666666666665,1.96375,0,0,0,0,1
8,8342,9991,71.63636363636364,70.68181818181819,0,0,1.8633333333333333,1.4533333333333331,11,12,10,6,1
9,8635,9985,73.45454545454545,71.63636363636364,0,0,1.7633333333333334,2.0429166666666667,13,8,10,2,1
10,9997,9993,65.04545454545455,67.31818181818181,0,0,2.6,1.5345833333333332,1,5,1,1,0
11,10000,9989,66.45454545454545,66.13636363636364,0,0,1.7066666666666668,1.595,4,3,4,2,0
12,1773,10001,64.36363636363636,66.45454545454545,0,0,2.3049999999999997,1.7520833333333334,7,4,7,1,0
14,8203,9984,67.0,67.72727272727273,0,0,2.1750000000000003,2.5125,1,9,6,4,0
15,9998,8571,64.22727272727273,66.54545454545455,0,0,1.9316666666666666,1.6791666666666665,5,9,8,1,1
17,9987,9998,71.31818181818181,64.22727272727273,0,0,1.6433333333333333,2.035416666666667,8,7,7,2,1
18,9991,9994,70.18181818181819,68.81818181818181,0,0,1.4733333333333334,1.32875,9,5,9,8,1
19,9993,8203,67.31818181818181,67.72727272727273,0,0,2.033333333333333,1.9649999999999999,7,0,8,4,0
20,8571,8342,66.0,71.5,0,0,3.8416666666666663,5.041666666666667,6,13,13,9,1
21,9989,9997,66.13636363636364,64.95454545454545,0,0,1.6949999999999996,1.3279166666666666,6,1,4,1,0
22,10001,8635,65.86363636363636,73.4090909090909,0,0,5.458333333333333,1.6158333333333335,5,15,4,10,0
24,8342,9987,71.13636363636364,71.0,0,0,1.75,1.6583333333333332,10,10,13,5,0
25,8635,9989,72.63636363636364,65.54545454545455,0,0,1.1783333333333335,1.79375,15,5,13,5,1
26,9997,9985,65.18181818181819,71.77272727272727,0,0,4.371666666666666,1.3895833333333334,4,7,1,2,0
27,10000,9984,66.13636363636364,67.68181818181819,0,0,2.15,1.5958333333333334,4,9,4,7,0
28,1773,9993,64.72727272727273,67.86363636363636,0,0,2.546666666666667,2.279166666666667,5,8,8,4,1
29,9994,8571,69.31818181818181,66.13636363636364,0,0,2.0749999999999997,2.7720833333333332,5,9,0,1,0
30,8203,10001,66.4090909090909,66.54545454545455,0,0,1.8949999999999998,1.9845833333333334,1,5,6,2,1
31,9998,9991,64.22727272727273,70.45454545454545,0,0,2.975,1.8366666666666667,7,9,11,6,0
32,9985,8342,71.5909090909091,71.77272727272727,0,0,2.2000000000000006,1.5258333333333332,5,7,13,9,1
33,9987,8571,71.22727272727273,66.45454545454545,0,0,1.58,1.3125,10,9,10,4,0
34,9991,8203,69.4090909090909,66.72727272727273,0,0,1.4100000000000001,2.134583333333333,10,4,12,5,1
36,10000,9997,65.68181818181819,65.0909090909091,0,0,1.7300000000000002,1.3125,4,5,5,4,0
37,9989,1773,65.45454545454545,64.81818181818181,0,0,1.8499999999999999,1.3812500000000003,4,5,4,3,1
38,10001,9994,66.77272727272727,67.77272727272727,0,0,2.3249999999999997,1.8783333333333332,5,4,4,8,0
39,9984,8635,67.45454545454545,72.9090909090909,0,0,4.163333333333333,2.942083333333333,7,15,9,13,1
40,8342,9984,71.9090909090909,67.45454545454545,0,0,1.6466666666666665,1.7333333333333334,4,9,13,8,1
41,8635,9997,72.22727272727273,65.0909090909091,0,0,1.1633333333333333,1.6220833333333333,12,6,16,5,1
43,1773,9985,63.81818181818182,71.4090909090909,0,0,4.418333333333333,1.3191666666666666,5,8,11,3,0
45,8571,9991,66.22727272727273,69.4090909090909,0,0,3.0533333333333332,1.7666666666666666,10,10,16,7,0
47,9998,9989,64.27272727272727,65.45454545454545,0,0,1.8133333333333335,1.6687500000000002,5,6,12,5,1
48,9985,8203,71.4090909090909,67.04545454545455,0,0,1.3833333333333335,1.3854166666666667,10,4,16,5,1
49,9991,9987,70.54545454545455,72.18181818181819,0,1,1.97,1.5654166666666667,10,8,15,8,1
50,9993,8571,67.5,66.5909090909091,0,0,2.1,1.6708333333333334,5,7,9,5,0
51,9997,1773,66.18181818181819,64.72727272727273,0,0,1.945,1.5570833333333336,5,4,2,3,1
52,10000,8635,67.36363636363636,73.68181818181819,0,0,4.841666666666667,1.8166666666666667,5,12,6,13,0
53,9989,8342,65.68181818181819,71.5,0,0,4.488333333333333,3.8645833333333335,6,6,7,9,0
55,9984,9994,68.81818181818181,69.18181818181819,0,0,1.903333333333333,1.3708333333333333,8,7,12,11,0
56,8635,1773,72.81818181818181,64.72727272727273,0,0,1.1366666666666667,1.3258333333333334,12,4,19,3,0
57,9985,9991,72.27272727272727,70.45454545454545,0,0,2.066666666666667,1.6208333333333333,10,13,19,10,0
58,9993,9987,66.9090909090909,71.4090909090909,0,1,3.013333333333333,3.1625,5,7,9,8,1
59,9997,9998,65.22727272727273,65.31818181818181,0,0,2.225,3.5604166666666663,8,8,5,2,0
60,10000,9994,67.13636363636364,69.63636363636364,0,0,2.0500000000000003,1.7666666666666666,5,5,6,12,0
61,9989,8203,65.95454545454545,66.5,0,0,2.25,1.53125,3,4,7,5,0
63,9984,8571,68.81818181818181,66.95454545454545,0,0,1.86,1.32875,8,10,13,8,0
64,8342,9997,72.13636363636364,66.22727272727273,0,0,1.2466666666666666,1.4625000000000001,6,5,16,5,1
65,9987,9989,70.77272727272727,64.5909090909091,0,0,1.4000000000000001,1.3770833333333332,7,4,11,5,1
67,9994,9985,68.86363636363636,71.45454545454545,0,0,3.016666666666667,2.0679166666666666,5,11,0,6,0
69,8203,8635,66.95454545454545,73.81818181818181,0,0,5.3500000000000005,2.11875,5,10,9,16,1
70,9998,9984,65.31818181818181,68.4090909090909,0,0,2.108333333333334,1.3895833333333332,10,5,15,8,0
